speciesName	status	fbSpecCode	validName	class	order	family	genus	commonName
Capros aper	accepted name	54	Capros aper	Actinopteri	Acanthuriformes	Caproidae	Capros	Boarfish
Perca brunnich	synonym	54	Capros aper	Actinopteri	Acanthuriformes	Caproidae	Capros	Boarfish
Perca pusilla	synonym	54	Capros aper	Actinopteri	Acanthuriformes	Caproidae	Capros	Boarfish
Zeus aper	synonym	54	Capros aper	Actinopteri	Acanthuriformes	Caproidae	Capros	Boarfish
Acipenser baerii	accepted name	4683	Acipenser baerii	Actinopteri	Acipenseriformes	Acipenseridae	Acipenser	Siberian sturgeon
Acipenser baeri	synonym	4683	Acipenser baerii	Actinopteri	Acipenseriformes	Acipenseridae	Acipenser	Siberian sturgeon
Acipenser baeri baicalensis	synonym	4683	Acipenser baerii	Actinopteri	Acipenseriformes	Acipenseridae	Acipenser	Siberian sturgeon
Acipenser baeri stenorrhynchus	synonym	4683	Acipenser baerii	Actinopteri	Acipenseriformes	Acipenseridae	Acipenser	Siberian sturgeon
Acipenser baerii baerii	synonym	4683	Acipenser baerii	Actinopteri	Acipenseriformes	Acipenseridae	Acipenser	Siberian sturgeon
Acipenser baerii baicalensis	synonym	4683	Acipenser baerii	Actinopteri	Acipenseriformes	Acipenseridae	Acipenser	Siberian sturgeon
Acipenser baerii baikalensis	synonym	4683	Acipenser baerii	Actinopteri	Acipenseriformes	Acipenseridae	Acipenser	Siberian sturgeon
Acipenser baerii stenorrhynchus	synonym	4683	Acipenser baerii	Actinopteri	Acipenseriformes	Acipenseridae	Acipenser	Siberian sturgeon
Acipenser baieri	synonym	4683	Acipenser baerii	Actinopteri	Acipenseriformes	Acipenseridae	Acipenser	Siberian sturgeon
Acipenser stenorrhynchus	synonym	4683	Acipenser baerii	Actinopteri	Acipenseriformes	Acipenseridae	Acipenser	Siberian sturgeon
Acipenser stenorrhynchus baicalensis	synonym	4683	Acipenser baerii	Actinopteri	Acipenseriformes	Acipenseridae	Acipenser	Siberian sturgeon
Acipenser gueldenstaedtii	accepted name	4712	Acipenser gueldenstaedtii	Actinopteri	Acipenseriformes	Acipenseridae	Acipenser	Danube sturgeon
Acipenser aculeatus	synonym	4712	Acipenser gueldenstaedtii	Actinopteri	Acipenseriformes	Acipenseridae	Acipenser	Danube sturgeon
Acipenser gueldenstadti	synonym	4712	Acipenser gueldenstaedtii	Actinopteri	Acipenseriformes	Acipenseridae	Acipenser	Danube sturgeon
Acipenser gueldenstadtii	synonym	4712	Acipenser gueldenstaedtii	Actinopteri	Acipenseriformes	Acipenseridae	Acipenser	Danube sturgeon
Acipenser gueldenstaedti	synonym	4712	Acipenser gueldenstaedtii	Actinopteri	Acipenseriformes	Acipenseridae	Acipenser	Danube sturgeon
Acipenser gueldenstaedti acutirostris	synonym	4712	Acipenser gueldenstaedtii	Actinopteri	Acipenseriformes	Acipenseridae	Acipenser	Danube sturgeon
Acipenser gueldenstaedti golis	synonym	4712	Acipenser gueldenstaedtii	Actinopteri	Acipenseriformes	Acipenseridae	Acipenser	Danube sturgeon
Acipenser gueldenstaedti longirostris	synonym	4712	Acipenser gueldenstaedtii	Actinopteri	Acipenseriformes	Acipenseridae	Acipenser	Danube sturgeon
Acipenser gueldenstaedti scaber	synonym	4712	Acipenser gueldenstaedtii	Actinopteri	Acipenseriformes	Acipenseridae	Acipenser	Danube sturgeon
Acipenser gueldenstaedti tanaica	synonym	4712	Acipenser gueldenstaedtii	Actinopteri	Acipenseriformes	Acipenseridae	Acipenser	Danube sturgeon
Acipenser gueldenstaedtii scobar	synonym	4712	Acipenser gueldenstaedtii	Actinopteri	Acipenseriformes	Acipenseridae	Acipenser	Danube sturgeon
Acipenser guldenstadti	synonym	4712	Acipenser gueldenstaedtii	Actinopteri	Acipenseriformes	Acipenseridae	Acipenser	Danube sturgeon
Acipenser guldenstaedti	synonym	4712	Acipenser gueldenstaedtii	Actinopteri	Acipenseriformes	Acipenseridae	Acipenser	Danube sturgeon
Acipenser macrophthalmus	synonym	4712	Acipenser gueldenstaedtii	Actinopteri	Acipenseriformes	Acipenseridae	Acipenser	Danube sturgeon
Acipenser medius	synonym	4712	Acipenser gueldenstaedtii	Actinopteri	Acipenseriformes	Acipenseridae	Acipenser	Danube sturgeon
Acipenser tuecka	synonym	4712	Acipenser gueldenstaedtii	Actinopteri	Acipenseriformes	Acipenseridae	Acipenser	Danube sturgeon
Acipenser oxyrinchus	accepted name	2593	Acipenser oxyrinchus	Actinopteri	Acipenseriformes	Acipenseridae	Acipenser	Atlantic sturgeon
Acipenser bairdii	synonym	2593	Acipenser oxyrinchus	Actinopteri	Acipenseriformes	Acipenseridae	Acipenser	Atlantic sturgeon
Acipenser girardi	synonym	2593	Acipenser oxyrinchus	Actinopteri	Acipenseriformes	Acipenseridae	Acipenser	Atlantic sturgeon
Acipenser hallowellii	synonym	2593	Acipenser oxyrinchus	Actinopteri	Acipenseriformes	Acipenseridae	Acipenser	Atlantic sturgeon
Acipenser holbrookii	synonym	2593	Acipenser oxyrinchus	Actinopteri	Acipenseriformes	Acipenseridae	Acipenser	Atlantic sturgeon
Acipenser kennicottii	synonym	2593	Acipenser oxyrinchus	Actinopteri	Acipenseriformes	Acipenseridae	Acipenser	Atlantic sturgeon
Acipenser lecontei	synonym	2593	Acipenser oxyrinchus	Actinopteri	Acipenseriformes	Acipenseridae	Acipenser	Atlantic sturgeon
Acipenser lichtensteinii	synonym	2593	Acipenser oxyrinchus	Actinopteri	Acipenseriformes	Acipenseridae	Acipenser	Atlantic sturgeon
Acipenser macrorhinus	synonym	2593	Acipenser oxyrinchus	Actinopteri	Acipenseriformes	Acipenseridae	Acipenser	Atlantic sturgeon
Acipenser oxyrhynchus	synonym	2593	Acipenser oxyrinchus	Actinopteri	Acipenseriformes	Acipenseridae	Acipenser	Atlantic sturgeon
Acipenser oxyrhynchus desotoi	synonym	2593	Acipenser oxyrinchus	Actinopteri	Acipenseriformes	Acipenseridae	Acipenser	Atlantic sturgeon
Acipenser oxyrhynchus oxyrhynchus	synonym	2593	Acipenser oxyrinchus	Actinopteri	Acipenseriformes	Acipenseridae	Acipenser	Atlantic sturgeon
Acipenser oxyrinchus de sotoi	synonym	2593	Acipenser oxyrinchus	Actinopteri	Acipenseriformes	Acipenseridae	Acipenser	Atlantic sturgeon
Acipenser oxyrinchus desotoi	synonym	2593	Acipenser oxyrinchus	Actinopteri	Acipenseriformes	Acipenseridae	Acipenser	Atlantic sturgeon
Acipenser oxyrinchus oxyrinchus	synonym	2593	Acipenser oxyrinchus	Actinopteri	Acipenseriformes	Acipenseridae	Acipenser	Atlantic sturgeon
Sturio accipenser	synonym	2593	Acipenser oxyrinchus	Actinopteri	Acipenseriformes	Acipenseridae	Acipenser	Atlantic sturgeon
Acipenser ruthenus	accepted name	4604	Acipenser ruthenus	Actinopteri	Acipenseriformes	Acipenseridae	Acipenser	Sterlet sturgeon
Acipenser dubius	synonym	4604	Acipenser ruthenus	Actinopteri	Acipenseriformes	Acipenseridae	Acipenser	Sterlet sturgeon
Acipenser gmelini	synonym	4604	Acipenser ruthenus	Actinopteri	Acipenseriformes	Acipenseridae	Acipenser	Sterlet sturgeon
Acipenser jeniscensis	synonym	4604	Acipenser ruthenus	Actinopteri	Acipenseriformes	Acipenseridae	Acipenser	Sterlet sturgeon
Acipenser jenisensis	synonym	4604	Acipenser ruthenus	Actinopteri	Acipenseriformes	Acipenseridae	Acipenser	Sterlet sturgeon
Acipenser kamensis	synonym	4604	Acipenser ruthenus	Actinopteri	Acipenseriformes	Acipenseridae	Acipenser	Sterlet sturgeon
Acipenser kankreni	synonym	4604	Acipenser ruthenus	Actinopteri	Acipenseriformes	Acipenseridae	Acipenser	Sterlet sturgeon
Acipenser koster	synonym	4604	Acipenser ruthenus	Actinopteri	Acipenseriformes	Acipenseridae	Acipenser	Sterlet sturgeon
Acipenser kostera	synonym	4604	Acipenser ruthenus	Actinopteri	Acipenseriformes	Acipenseridae	Acipenser	Sterlet sturgeon
Acipenser lovetzkyi	synonym	4604	Acipenser ruthenus	Actinopteri	Acipenseriformes	Acipenseridae	Acipenser	Sterlet sturgeon
Acipenser marsiglii	synonym	4604	Acipenser ruthenus	Actinopteri	Acipenseriformes	Acipenseridae	Acipenser	Sterlet sturgeon
Acipenser pygmaeus	synonym	4604	Acipenser ruthenus	Actinopteri	Acipenseriformes	Acipenseridae	Acipenser	Sterlet sturgeon
Acipenser ruthenicus	synonym	4604	Acipenser ruthenus	Actinopteri	Acipenseriformes	Acipenseridae	Acipenser	Sterlet sturgeon
Acipenser ruthensis	synonym	4604	Acipenser ruthenus	Actinopteri	Acipenseriformes	Acipenseridae	Acipenser	Sterlet sturgeon
Acipenser ruthenus grisescens	synonym	4604	Acipenser ruthenus	Actinopteri	Acipenseriformes	Acipenseridae	Acipenser	Sterlet sturgeon
Acipenser ruthenus leucotica	synonym	4604	Acipenser ruthenus	Actinopteri	Acipenseriformes	Acipenseridae	Acipenser	Sterlet sturgeon
Acipenser ruthenus rutzskyi	synonym	4604	Acipenser ruthenus	Actinopteri	Acipenseriformes	Acipenseridae	Acipenser	Sterlet sturgeon
Acipenser ruthenus ruzskyi	synonym	4604	Acipenser ruthenus	Actinopteri	Acipenseriformes	Acipenseridae	Acipenser	Sterlet sturgeon
Acipenser sterlet	synonym	4604	Acipenser ruthenus	Actinopteri	Acipenseriformes	Acipenseridae	Acipenser	Sterlet sturgeon
Sterledus ruthenus sibiricus	synonym	4604	Acipenser ruthenus	Actinopteri	Acipenseriformes	Acipenseridae	Acipenser	Sterlet sturgeon
Acipenser stellatus	accepted name	2065	Acipenser stellatus	Actinopteri	Acipenseriformes	Acipenseridae	Acipenser	Starry sturgeon
Acipenser helops	synonym	2065	Acipenser stellatus	Actinopteri	Acipenseriformes	Acipenseridae	Acipenser	Starry sturgeon
Acipenser ratzeburgii	synonym	2065	Acipenser stellatus	Actinopteri	Acipenseriformes	Acipenseridae	Acipenser	Starry sturgeon
Acipenser rostratus	synonym	2065	Acipenser stellatus	Actinopteri	Acipenseriformes	Acipenseridae	Acipenser	Starry sturgeon
Acipenser seuruga	synonym	2065	Acipenser stellatus	Actinopteri	Acipenseriformes	Acipenseridae	Acipenser	Starry sturgeon
Acipenser stellatus danubialis	synonym	2065	Acipenser stellatus	Actinopteri	Acipenseriformes	Acipenseridae	Acipenser	Starry sturgeon
Acipenser stellatus donensis	synonym	2065	Acipenser stellatus	Actinopteri	Acipenseriformes	Acipenseridae	Acipenser	Starry sturgeon
Acipenser stellatus illyricus	synonym	2065	Acipenser stellatus	Actinopteri	Acipenseriformes	Acipenseridae	Acipenser	Starry sturgeon
Acipenser sturio	accepted name	2066	Acipenser sturio	Actinopteri	Acipenseriformes	Acipenseridae	Acipenser	Sturgeon
Accipenser attilus	synonym	2066	Acipenser sturio	Actinopteri	Acipenseriformes	Acipenseridae	Acipenser	Sturgeon
Accipenser sturio	synonym	2066	Acipenser sturio	Actinopteri	Acipenseriformes	Acipenseridae	Acipenser	Sturgeon
Acipenser attilus	synonym	2066	Acipenser sturio	Actinopteri	Acipenseriformes	Acipenseridae	Acipenser	Sturgeon
Acipenser ducissae	synonym	2066	Acipenser sturio	Actinopteri	Acipenseriformes	Acipenseridae	Acipenser	Sturgeon
Acipenser europaeus	synonym	2066	Acipenser sturio	Actinopteri	Acipenseriformes	Acipenseridae	Acipenser	Sturgeon
Acipenser fitzingeri	synonym	2066	Acipenser sturio	Actinopteri	Acipenseriformes	Acipenseridae	Acipenser	Sturgeon
Acipenser fitzingerii	synonym	2066	Acipenser sturio	Actinopteri	Acipenseriformes	Acipenseridae	Acipenser	Sturgeon
Acipenser hospitus	synonym	2066	Acipenser sturio	Actinopteri	Acipenseriformes	Acipenseridae	Acipenser	Sturgeon
Acipenser laevissimus	synonym	2066	Acipenser sturio	Actinopteri	Acipenseriformes	Acipenseridae	Acipenser	Sturgeon
Acipenser latirostris	synonym	2066	Acipenser sturio	Actinopteri	Acipenseriformes	Acipenseridae	Acipenser	Sturgeon
Acipenser milberti	synonym	2066	Acipenser sturio	Actinopteri	Acipenseriformes	Acipenseridae	Acipenser	Sturgeon
Acipenser nehelae	synonym	2066	Acipenser sturio	Actinopteri	Acipenseriformes	Acipenseridae	Acipenser	Sturgeon
Acipenser podapos	synonym	2066	Acipenser sturio	Actinopteri	Acipenseriformes	Acipenseridae	Acipenser	Sturgeon
Acipenser stureio	synonym	2066	Acipenser sturio	Actinopteri	Acipenseriformes	Acipenseridae	Acipenser	Sturgeon
Acipenser sturioides	synonym	2066	Acipenser sturio	Actinopteri	Acipenseriformes	Acipenseridae	Acipenser	Sturgeon
Acipenser thompsonii	synonym	2066	Acipenser sturio	Actinopteri	Acipenseriformes	Acipenseridae	Acipenser	Sturgeon
Acipenser valenciennii	synonym	2066	Acipenser sturio	Actinopteri	Acipenseriformes	Acipenseridae	Acipenser	Sturgeon
Acipenser yarrellii	synonym	2066	Acipenser sturio	Actinopteri	Acipenseriformes	Acipenseridae	Acipenser	Sturgeon
Arcipenser sturio	synonym	2066	Acipenser sturio	Actinopteri	Acipenseriformes	Acipenseridae	Acipenser	Sturgeon
Sturio vulgaris	synonym	2066	Acipenser sturio	Actinopteri	Acipenseriformes	Acipenseridae	Acipenser	Sturgeon
Huso huso	accepted name	2067	Huso huso	Actinopteri	Acipenseriformes	Acipenseridae	Huso	Beluga
Acipenser albula	synonym	2067	Huso huso	Actinopteri	Acipenseriformes	Acipenseridae	Huso	Beluga
Acipenser beluga	synonym	2067	Huso huso	Actinopteri	Acipenseriformes	Acipenseridae	Huso	Beluga
Acipenser huso	synonym	2067	Huso huso	Actinopteri	Acipenseriformes	Acipenseridae	Huso	Beluga
Acipenser schypa	synonym	2067	Huso huso	Actinopteri	Acipenseriformes	Acipenseridae	Huso	Beluga
Acipenser shyp	synonym	2067	Huso huso	Actinopteri	Acipenseriformes	Acipenseridae	Huso	Beluga
Acipenser vallisnerii	synonym	2067	Huso huso	Actinopteri	Acipenseriformes	Acipenseridae	Huso	Beluga
Huso huso caspicus	synonym	2067	Huso huso	Actinopteri	Acipenseriformes	Acipenseridae	Huso	Beluga
Huso huso maeoticus	synonym	2067	Huso huso	Actinopteri	Acipenseriformes	Acipenseridae	Huso	Beluga
Huso huso orientalis	synonym	2067	Huso huso	Actinopteri	Acipenseriformes	Acipenseridae	Huso	Beluga
Huso huso ponticus	synonym	2067	Huso huso	Actinopteri	Acipenseriformes	Acipenseridae	Huso	Beluga
Huso ichthyocolla	synonym	2067	Huso huso	Actinopteri	Acipenseriformes	Acipenseridae	Huso	Beluga
Polyprion americanus	accepted name	349	Polyprion americanus	Actinopteri	Acropomatiformes	Polyprionidae	Polyprion	Wreckfish
Amphiprion americanus	synonym	349	Polyprion americanus	Actinopteri	Acropomatiformes	Polyprionidae	Polyprion	Wreckfish
Polyprion americanum	synonym	349	Polyprion americanus	Actinopteri	Acropomatiformes	Polyprionidae	Polyprion	Wreckfish
Polyprion cernium	synonym	349	Polyprion americanus	Actinopteri	Acropomatiformes	Polyprionidae	Polyprion	Wreckfish
Polyprion massiliense	synonym	349	Polyprion americanus	Actinopteri	Acropomatiformes	Polyprionidae	Polyprion	Wreckfish
Polyprion moeone	synonym	349	Polyprion americanus	Actinopteri	Acropomatiformes	Polyprionidae	Polyprion	Wreckfish
Sparus cernua	synonym	349	Polyprion americanus	Actinopteri	Acropomatiformes	Polyprionidae	Polyprion	Wreckfish
Anguilla anguilla	accepted name	35	Anguilla anguilla	Actinopteri	Anguilliformes	Anguillidae	Anguilla	European eel
Angill angill	synonym	35	Anguilla anguilla	Actinopteri	Anguilliformes	Anguillidae	Anguilla	European eel
Anguilla acutirostris	synonym	35	Anguilla anguilla	Actinopteri	Anguilliformes	Anguillidae	Anguilla	European eel
Anguilla aegyptiaca	synonym	35	Anguilla anguilla	Actinopteri	Anguilliformes	Anguillidae	Anguilla	European eel
Anguilla altirostris	synonym	35	Anguilla anguilla	Actinopteri	Anguilliformes	Anguillidae	Anguilla	European eel
Anguilla ancidda	synonym	35	Anguilla anguilla	Actinopteri	Anguilliformes	Anguillidae	Anguilla	European eel
Anguilla anguilla oxycephala	synonym	35	Anguilla anguilla	Actinopteri	Anguilliformes	Anguillidae	Anguilla	European eel
Anguilla anguillai	synonym	35	Anguilla anguilla	Actinopteri	Anguilliformes	Anguillidae	Anguilla	European eel
Anguilla anguillia	synonym	35	Anguilla anguilla	Actinopteri	Anguilliformes	Anguillidae	Anguilla	European eel
Anguilla bibroni	synonym	35	Anguilla anguilla	Actinopteri	Anguilliformes	Anguillidae	Anguilla	European eel
Anguilla brevirostris	synonym	35	Anguilla anguilla	Actinopteri	Anguilliformes	Anguillidae	Anguilla	European eel
Anguilla callensis	synonym	35	Anguilla anguilla	Actinopteri	Anguilliformes	Anguillidae	Anguilla	European eel
Anguilla canariensis	synonym	35	Anguilla anguilla	Actinopteri	Anguilliformes	Anguillidae	Anguilla	European eel
Anguilla capitone	synonym	35	Anguilla anguilla	Actinopteri	Anguilliformes	Anguillidae	Anguilla	European eel
Anguilla cloacina	synonym	35	Anguilla anguilla	Actinopteri	Anguilliformes	Anguillidae	Anguilla	European eel
Anguilla cuvieri	synonym	35	Anguilla anguilla	Actinopteri	Anguilliformes	Anguillidae	Anguilla	European eel
Anguilla eurystoma	synonym	35	Anguilla anguilla	Actinopteri	Anguilliformes	Anguillidae	Anguilla	European eel
Anguilla fluviatilis	synonym	35	Anguilla anguilla	Actinopteri	Anguilliformes	Anguillidae	Anguilla	European eel
Anguilla hibernica	synonym	35	Anguilla anguilla	Actinopteri	Anguilliformes	Anguillidae	Anguilla	European eel
Anguilla kieneri	synonym	35	Anguilla anguilla	Actinopteri	Anguilliformes	Anguillidae	Anguilla	European eel
Anguilla latirostris	synonym	35	Anguilla anguilla	Actinopteri	Anguilliformes	Anguillidae	Anguilla	European eel
Anguilla linnei	synonym	35	Anguilla anguilla	Actinopteri	Anguilliformes	Anguillidae	Anguilla	European eel
Anguilla marginata	synonym	35	Anguilla anguilla	Actinopteri	Anguilliformes	Anguillidae	Anguilla	European eel
Anguilla marina	synonym	35	Anguilla anguilla	Actinopteri	Anguilliformes	Anguillidae	Anguilla	European eel
Anguilla mediorostris	synonym	35	Anguilla anguilla	Actinopteri	Anguilliformes	Anguillidae	Anguilla	European eel
Anguilla melanochir	synonym	35	Anguilla anguilla	Actinopteri	Anguilliformes	Anguillidae	Anguilla	European eel
Anguilla microptera	synonym	35	Anguilla anguilla	Actinopteri	Anguilliformes	Anguillidae	Anguilla	European eel
Anguilla migratoria	synonym	35	Anguilla anguilla	Actinopteri	Anguilliformes	Anguillidae	Anguilla	European eel
Anguilla morena	synonym	35	Anguilla anguilla	Actinopteri	Anguilliformes	Anguillidae	Anguilla	European eel
Anguilla nilotica	synonym	35	Anguilla anguilla	Actinopteri	Anguilliformes	Anguillidae	Anguilla	European eel
Anguilla oblongirostris	synonym	35	Anguilla anguilla	Actinopteri	Anguilliformes	Anguillidae	Anguilla	European eel
Anguilla platycephala	synonym	35	Anguilla anguilla	Actinopteri	Anguilliformes	Anguillidae	Anguilla	European eel
Anguilla platyrhynchus	synonym	35	Anguilla anguilla	Actinopteri	Anguilliformes	Anguillidae	Anguilla	European eel
Anguilla savignyi	synonym	35	Anguilla anguilla	Actinopteri	Anguilliformes	Anguillidae	Anguilla	European eel
Anguilla septembrina	synonym	35	Anguilla anguilla	Actinopteri	Anguilliformes	Anguillidae	Anguilla	European eel
Anguilla vulgaris	synonym	35	Anguilla anguilla	Actinopteri	Anguilliformes	Anguillidae	Anguilla	European eel
Anguilla vulgaris fluviatilis	synonym	35	Anguilla anguilla	Actinopteri	Anguilliformes	Anguillidae	Anguilla	European eel
Anguilla vulgaris lacustus	synonym	35	Anguilla anguilla	Actinopteri	Anguilliformes	Anguillidae	Anguilla	European eel
Anguilla vulgaris macrocephala	synonym	35	Anguilla anguilla	Actinopteri	Anguilliformes	Anguillidae	Anguilla	European eel
Anguilla vulgaris marina	synonym	35	Anguilla anguilla	Actinopteri	Anguilliformes	Anguillidae	Anguilla	European eel
Anguilla vulgaris ornithorhincha	synonym	35	Anguilla anguilla	Actinopteri	Anguilliformes	Anguillidae	Anguilla	European eel
Anguilla vulgaris platyura	synonym	35	Anguilla anguilla	Actinopteri	Anguilliformes	Anguillidae	Anguilla	European eel
Leptocephalus brevirostris	synonym	35	Anguilla anguilla	Actinopteri	Anguilliformes	Anguillidae	Anguilla	European eel
Muraena anguilla	synonym	35	Anguilla anguilla	Actinopteri	Anguilliformes	Anguillidae	Anguilla	European eel
Muraena anguilla maculata	synonym	35	Anguilla anguilla	Actinopteri	Anguilliformes	Anguillidae	Anguilla	European eel
Muraena anguilla marina	synonym	35	Anguilla anguilla	Actinopteri	Anguilliformes	Anguillidae	Anguilla	European eel
Muraena oxyrhina	synonym	35	Anguilla anguilla	Actinopteri	Anguilliformes	Anguillidae	Anguilla	European eel
Muraena platyrhina	synonym	35	Anguilla anguilla	Actinopteri	Anguilliformes	Anguillidae	Anguilla	European eel
Conger conger	accepted name	301	Conger conger	Actinopteri	Anguilliformes	Congridae	Conger	European conger
Anguilla conger	synonym	301	Conger conger	Actinopteri	Anguilliformes	Congridae	Conger	European conger
Anguilla obtusa	synonym	301	Conger conger	Actinopteri	Anguilliformes	Congridae	Conger	European conger
Conger communis	synonym	301	Conger conger	Actinopteri	Anguilliformes	Congridae	Conger	European conger
Conger niger	synonym	301	Conger conger	Actinopteri	Anguilliformes	Congridae	Conger	European conger
Conger rubescens	synonym	301	Conger conger	Actinopteri	Anguilliformes	Congridae	Conger	European conger
Conger verus	synonym	301	Conger conger	Actinopteri	Anguilliformes	Congridae	Conger	European conger
Conger vulgaris	synonym	301	Conger conger	Actinopteri	Anguilliformes	Congridae	Conger	European conger
Leptocephalus candidissimus	synonym	301	Conger conger	Actinopteri	Anguilliformes	Congridae	Conger	European conger
Leptocephalus conger	synonym	301	Conger conger	Actinopteri	Anguilliformes	Congridae	Conger	European conger
Leptocephalus gussoni	synonym	301	Conger conger	Actinopteri	Anguilliformes	Congridae	Conger	European conger
Leptocephalus inaequalis	synonym	301	Conger conger	Actinopteri	Anguilliformes	Congridae	Conger	European conger
Leptocephalus lineatus	synonym	301	Conger conger	Actinopteri	Anguilliformes	Congridae	Conger	European conger
Leptocephalus morrisii	synonym	301	Conger conger	Actinopteri	Anguilliformes	Congridae	Conger	European conger
Leptocephalus pellucidus	synonym	301	Conger conger	Actinopteri	Anguilliformes	Congridae	Conger	European conger
Leptocephalus spallanzani	synonym	301	Conger conger	Actinopteri	Anguilliformes	Congridae	Conger	European conger
Leptocephalus stenops	synonym	301	Conger conger	Actinopteri	Anguilliformes	Congridae	Conger	European conger
Leptocephalus vitreus	synonym	301	Conger conger	Actinopteri	Anguilliformes	Congridae	Conger	European conger
Muraena conger	synonym	301	Conger conger	Actinopteri	Anguilliformes	Congridae	Conger	European conger
Muraena nigra	synonym	301	Conger conger	Actinopteri	Anguilliformes	Congridae	Conger	European conger
Ophidium pellucidum	synonym	301	Conger conger	Actinopteri	Anguilliformes	Congridae	Conger	European conger
Ophisoma obtusa	synonym	301	Conger conger	Actinopteri	Anguilliformes	Congridae	Conger	European conger
Argentina silus	accepted name	2700	Argentina silus	Actinopteri	Argentiniformes	Argentinidae	Argentina	Greater argentine
Salmo silus	synonym	2700	Argentina silus	Actinopteri	Argentiniformes	Argentinidae	Argentina	Greater argentine
Argentina sphyraena	accepted name	20	Argentina sphyraena	Actinopteri	Argentiniformes	Argentinidae	Argentina	Argentine
Argentina cuvieri	synonym	20	Argentina sphyraena	Actinopteri	Argentiniformes	Argentinidae	Argentina	Argentine
Argentina hebridica	synonym	20	Argentina sphyraena	Actinopteri	Argentiniformes	Argentinidae	Argentina	Argentine
Argentina silus junior	synonym	20	Argentina sphyraena	Actinopteri	Argentiniformes	Argentinidae	Argentina	Argentine
Argentina yarrelli	synonym	20	Argentina sphyraena	Actinopteri	Argentiniformes	Argentinidae	Argentina	Argentine
Goniosoma argentinum	synonym	20	Argentina sphyraena	Actinopteri	Argentiniformes	Argentinidae	Argentina	Argentine
Osmerus hebridicus	synonym	20	Argentina sphyraena	Actinopteri	Argentiniformes	Argentinidae	Argentina	Argentine
Atherina presbyter	accepted name	45	Atherina presbyter	Actinopteri	Atheriniformes	Atherinidae	Atherina	Sand smelt
Hepsetia presbyter	synonym	45	Atherina presbyter	Actinopteri	Atheriniformes	Atherinidae	Atherina	Sand smelt
Arctozenus risso	accepted name	6977	Arctozenus risso	Actinopteri	Aulopiformes	Paralepididae	Arctozenus	Spotted barracudina
Arctozenus coruscans	synonym	6977	Arctozenus risso	Actinopteri	Aulopiformes	Paralepididae	Arctozenus	Spotted barracudina
Arctozenus rissoi	synonym	6977	Arctozenus risso	Actinopteri	Aulopiformes	Paralepididae	Arctozenus	Spotted barracudina
Notolepis coruscans	synonym	6977	Arctozenus risso	Actinopteri	Aulopiformes	Paralepididae	Arctozenus	Spotted barracudina
Notolepis risso	synonym	6977	Arctozenus risso	Actinopteri	Aulopiformes	Paralepididae	Arctozenus	Spotted barracudina
Notolepis rissoi	synonym	6977	Arctozenus risso	Actinopteri	Aulopiformes	Paralepididae	Arctozenus	Spotted barracudina
Notolepis rissoi rissoi	synonym	6977	Arctozenus risso	Actinopteri	Aulopiformes	Paralepididae	Arctozenus	Spotted barracudina
Paralepis coruscans	synonym	6977	Arctozenus risso	Actinopteri	Aulopiformes	Paralepididae	Arctozenus	Spotted barracudina
Paralepis kroyeri	synonym	6977	Arctozenus risso	Actinopteri	Aulopiformes	Paralepididae	Arctozenus	Spotted barracudina
Paralepis risso	synonym	6977	Arctozenus risso	Actinopteri	Aulopiformes	Paralepididae	Arctozenus	Spotted barracudina
Paralepis rissoi rissoi	synonym	6977	Arctozenus risso	Actinopteri	Aulopiformes	Paralepididae	Arctozenus	Spotted barracudina
Sudis rissoi	synonym	6977	Arctozenus risso	Actinopteri	Aulopiformes	Paralepididae	Arctozenus	Spotted barracudina
Magnisudis atlantica	accepted name	2727	Magnisudis atlantica	Actinopteri	Aulopiformes	Paralepididae	Magnisudis	Duckbill barracudina
Magnisudis barysoma	synonym	2727	Magnisudis atlantica	Actinopteri	Aulopiformes	Paralepididae	Magnisudis	Duckbill barracudina
Paralepis atlantica	synonym	2727	Magnisudis atlantica	Actinopteri	Aulopiformes	Paralepididae	Magnisudis	Duckbill barracudina
Paralepis atlantica atlantica	synonym	2727	Magnisudis atlantica	Actinopteri	Aulopiformes	Paralepididae	Magnisudis	Duckbill barracudina
Paralepis atlanticus	synonym	2727	Magnisudis atlantica	Actinopteri	Aulopiformes	Paralepididae	Magnisudis	Duckbill barracudina
Paralepis brevis	synonym	2727	Magnisudis atlantica	Actinopteri	Aulopiformes	Paralepididae	Magnisudis	Duckbill barracudina
Paralepis bronsoni	synonym	2727	Magnisudis atlantica	Actinopteri	Aulopiformes	Paralepididae	Magnisudis	Duckbill barracudina
Sudis bronsoni	synonym	2727	Magnisudis atlantica	Actinopteri	Aulopiformes	Paralepididae	Magnisudis	Duckbill barracudina
Halobatrachus didactylus	accepted name	5429	Halobatrachus didactylus	Actinopteri	Batrachoidiformes	Batrachoididae	Halobatrachus	Lusitanian toadfish
Batrachoides didactylus	synonym	5429	Halobatrachus didactylus	Actinopteri	Batrachoidiformes	Batrachoididae	Halobatrachus	Lusitanian toadfish
Batrachoides planifrons	synonym	5429	Halobatrachus didactylus	Actinopteri	Batrachoidiformes	Batrachoididae	Halobatrachus	Lusitanian toadfish
Batrachus algeriensis	synonym	5429	Halobatrachus didactylus	Actinopteri	Batrachoidiformes	Batrachoididae	Halobatrachus	Lusitanian toadfish
